#stages0 = writecat:docker:DR9.6.7b
#stages1 = writecat:docker:DR9.6.7
#stages2 = writecat:docker:DR9.6.4
#stages3 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
#stages4 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.7b
#stages5 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages6 = srcs:docker:DR9.6.4 writecat:docker:DR9.6.7b
#stages7 = writecat:docker:DR9.6.5b
#stages8 = writecat:docker:DR9.6.5
#stages9 = writecat:docker:DR9.6.8
#stages10 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.6
3288m012 file0_rs0_skip0 stages5
0393p262 file0_rs0_skip0 stages7
2256m032 file0_rs0_skip0 stages2
3520p335 file0_rs0_skip0 stages1
0397p137 file0_rs0_skip0 stages7
3436p025 file0_rs0_skip0 stages8
2416p000 file0_rs0_skip0 stages8
3254p167 file0_rs0_skip0 stages1
2545p095 file0_rs0_skip0 stages1
3392p077 file0_rs0_skip0 stages3
0557m170 file0_rs0_skip0 stages1
0367p220 file0_rs0_skip0 stages5
2587p090 file0_rs0_skip0 stages5
0548m010 file0_rs0_skip0 stages1
0207p167 file0_rs0_skip0 stages8
2584p070 file0_rs0_skip0 stages8
2481m015 file0_rs0_skip0 stages5
3487p197 file0_rs0_skip0 stages1
0394p257 file0_rs0_skip0 stages7
2286m030 file0_rs0_skip0 stages2
3483p240 file0_rs0_skip0 stages1
3440p257 file0_rs0_skip0 stages1
2603p130 file0_rs0_skip0 stages3
0442p050 file0_rs0_skip0 stages4
3451p210 file0_rs0_skip0 stages1
0009p240 file0_rs0_skip0 stages5
1463p020 file0_rs0_skip0 stages2
0662m082 file0_rs0_skip0 stages1
0396p235 file0_rs0_skip0 stages7
0402p082 file0_rs0_skip0 stages7
0413p112 file0_rs0_skip0 stages5
0392p242 file0_rs0_skip0 stages7
3195m080 file0_rs0_skip0 stages5
0675m140 file0_rs0_skip0 stages1
0394p210 file0_rs0_skip0 stages7
3259p230 file0_rs0_skip0 stages3
